Gender,Salary,Bonus %,Team
0,97308.0,6.945,0
0,61933.0,4.17,10
1,130590.0,11.857999999999999,1
0,138705.0,9.34,1
0,101004.0,1.389,2
0,115163.0,10.125,3
1,65476.0,10.012,4
1,45906.0,11.597999999999999,1
1,95570.0,18.523,5
1,139852.0,7.524,6
1,63241.0,15.132,10
1,102508.0,9.977787234042548,3
0,112807.0,17.492,7
0,109831.0,5.831,8
1,41426.0,14.543,1
1,59414.0,1.256,4
0,90370.0,7.369,7
0,111737.0,6.414,4
1,132940.0,19.082,2
1,81014.0,1.8940000000000001,4
1,64714.0,4.934,3
0,100612.0,13.645,0
0,90816.0,18.816,2
0,125792.0,5.042,10
0,94199.18478260869,13.873,2
0,37076.0,18.576,2
0,37598.0,7.757000000000001,0
0,122367.0,9.977787234042548,3
0,124008.0,13.464,2
0,79529.0,7.007999999999999,3
1,118780.0,9.096,5
1,88657.0,12.752,4
0,122340.0,6.417000000000001,10
1,119082.0,16.18,6
0,95734.0,19.096,2
1,85182.0,16.675,8
1,142032.0,12.599,6
1,57427.0,9.557,2
1,36844.0,5.574,6
0,122173.0,7.797000000000001,2
0,99283.0,2.665,9
1,66582.0,11.308,6
1,121918.0,15.835,3
1,73524.0,5.207000000000001,0
1,145146.0,7.482,4
0,88010.0,13.886,8
0,114796.0,6.796,1
1,94199.18478260869,9.0,2
0,93581.0,6.082999999999999,6
0,113590.0,3.055,8
1,94976.0,13.83,5
0,94199.18478260869,14.009,8
0,49339.0,1.695,7
0,40341.0,17.578,1
1,83677.0,9.977787234042548,5
1,102488.0,17.653,4
0,130276.0,16.084,1
0,64715.0,15.107000000000001,7
1,72670.0,1.4809999999999999,5
1,94199.18478260869,11.279000000000002,5
1,48866.0,4.271,9
1,106862.0,3.699,6
1,58112.0,19.414,0
0,35203.0,18.04,7
1,77834.0,18.771,6
0,61310.0,12.427999999999999,9
1,125250.0,2.6719999999999997,6
1,94199.18478260869,9.735,1
0,84834.0,14.33,1
1,100863.0,4.382,1
0,84692.0,6.617000000000001,2
0,118172.0,16.194000000000003,8
0,54043.0,3.833,4
1,90582.0,9.977787234042548,8
0,94199.18478260869,17.029,0
1,104897.0,5.118,7
1,131604.0,7.353,9
0,107391.0,1.26,0
1,114797.0,5.965,8
1,115814.0,4.99,4
0,137126.0,15.602,8
0,47369.0,14.822000000000001,3
0,35095.0,8.379,2
0,148115.0,6.539,1
1,83072.0,7.511,1
0,94199.18478260869,3.887,2
1,103495.0,17.29,6
1,144887.0,8.276,8
1,64088.0,6.155,3
1,51082.0,11.955,3
1,91719.0,11.583,3
0,128771.0,8.309,10
1,119009.0,9.977787234042548,6
1,111858.0,1.601,3
0,130620.0,7.03,3
1,43026.0,14.165999999999999,2
1,142321.0,1.7369999999999999,1
1,140371.0,10.62,0
1,100705.0,16.961,0
